file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pt
1,0,21,-5.803096294403,0.884273707867,5.563969135284,0.0,0.0,0.0,2.015330523025,0.073850918073
1,1,5,-5.970628261566,1.326114535332,3.793476581573,0.0,0.0,0.0,9.40812516954,5.357695366347
1,2,8,-6.286952018738,-1.333293199539,3.521206617355,0.0,0.0,0.0,10.285728167439,17.269842270171
1,3,2,-6.204591751099,-0.61083304882,3.765932798386,0.0,0.0,0.0,7.862149601892,14.501530210277
1,4,57,-5.864424705505,1.940839529037,3.395439624786,0.0,0.0,0.0,5.602828879884,2.724962627364
1,5,16,-6.093668460846,0.495225131512,2.400259494781,0.0,0.0,0.0,1.164763609391,1.789761286603
1,6,2,-6.071736812592,2.832501411438,4.23840713501,0.0,0.0,0.0,1.201275768689,2.219437031143
1,7,12,-6.373867511749,-1.004525661469,3.149983644485,0.0,0.0,0.0,6.591027669952,10.649825123555
1,8,33,-6.190609931946,0.689070522785,3.586124420166,0.0,0.0,0.0,10.82197154823,18.628146240669
1,9,39,-6.00492143631,-1.985460639,2.480238199234,0.0,0.0,0.0,1.748103871679,1.613354839503
1,10,41,-6.035478591919,-1.729718446732,4.290379524231,0.0,0.0,0.0,4.587904154458,6.199777821942
1,11,23,-6.020208358765,2.111792087555,4.584134578705,0.0,0.0,0.0,16.492559445796,25.669019471247
1,12,28,-5.551910877228,0.176519170403,7.210749149323,0.0,0.0,0.0,23.560824617646,35.316473158935
1,13,55,-5.664297103882,0.675491154194,3.945912361145,0.0,0.0,0.0,7.495028633968,5.118558480201
1,14,24,-5.576035499573,1.016208171844,6.848277568817,0.0,0.0,0.0,17.901619326447,25.53193237319
1,15,7,-5.165637016296,-1.160394668579,9.019667625427,0.0,0.0,0.0,2.392321991356,0.991643545191
1,16,37,-5.531692504883,-0.296947568655,7.155831336975,0.0,0.0,0.0,24.245782243986,38.163507290453
1,17,67,-6.268840789795,-2.86624288559,3.129004240036,0.0,0.0,0.0,26.705879311697,42.902891915685
1,18,33,-5.976115226746,0.967093586922,4.181213855743,0.0,0.0,0.0,2.414056423671,1.893208936711
1,18,38,-5.497863292694,1.723154067993,0.109347589314,-0.024791169912,-0.013843454421,-0.689444363117,2.414056423671,1.893208936711
1,19,22,-6.299463272095,0.206336125731,3.326799154282,0.0,0.0,0.0,5.793116395068,9.809025057603
1,20,40,-6.111019134521,-1.405239582062,2.341314792633,0.0,0.0,0.0,7.529005621167,10.881790482875
1,21,5,-6.150765895844,0.680346190929,4.01837015152,0.0,0.0,0.0,11.116882504792,20.303314401963
1,22,42,-6.262369155884,2.365028142929,3.610779047012,0.0,0.0,0.0,15.831757593336,21.682699282223
1,23,1,-5.458708286285,-1.521442055702,8.040144920349,0.0,0.0,0.0,7.216375381636,13.825102751051
1,24,1,-6.273985385895,2.020073890686,3.24679017067,0.0,0.0,0.0,1.048686023278,1.5013536356
1,25,31,-5.221786022186,-1.797893285751,5.062776565552,0.0,0.0,0.0,8.007377262381,3.932899998361
1,26,48,-5.996513843536,0.963573813438,3.65553855896,0.0,0.0,0.0,11.18986010636,14.259492306553
1,27,25,-3.995859146118,0.758828043938,5.908066749573,0.0,0.0,0.0,4.359715857579,7.223802459424
1,28,50,-6.049371242523,2.475584745407,3.89275097847,0.0,0.0,0.0,11.970399195257,15.995492170209
1,29,68,-4.829626560211,2.725985765457,10.356383323669,0.0,0.0,0.0,5.239412739827,6.692897773294
1,30,1,-6.019548892975,1.440721273422,2.913711309433,0.0,0.0,0.0,2.408329304907,1.945567636858
1,31,50,-6.070313453674,0.355427831411,2.423874855042,0.0,0.0,0.0,0.0,0.0
1,32,14,-5.941849708557,1.865787267685,4.898724555969,0.0,0.0,0.0,16.033016470911,28.607693606904
1,33,29,-5.915083408356,-1.612867951393,4.777456283569,0.0,0.0,0.0,0.718033382483,0.182895576207
1,34,56,-5.940339565277,-1.517427563667,2.761640071869,0.0,0.0,0.0,9.205218240255,12.516568312144
1,35,23,-5.538269519806,-0.009803663939,6.166552066803,0.0,0.0,0.0,5.286837207013,5.220454633466
1,36,2,-5.965940475464,1.847344398499,4.590428829193,0.0,0.0,0.0,3.246545303289,4.674611268826
1,37,49,-5.386876106262,0.098361700773,6.100635528564,0.0,0.0,0.0,10.880729384381,13.110694991343
1,38,1,-5.250179767609,1.077708601952,1.719977974892,0.0,0.0,0.0,2.770636268098,4.348252649946
1,39,18,-5.7974152565,1.046656370163,4.877316474915,0.0,0.0,0.0,5.633120062506,8.187051076709
1,40,21,-4.343822002411,-0.9863088727,2.884112119675,0.0,0.0,0.0,0.766834943249,1.235469045392
1,41,1,-5.974245548248,2.265557050705,2.46081662178,0.0,0.0,0.0,0.743902886162,0.759363641636
1,42,1,-5.943346500397,1.158560872078,3.644417762756,0.0,0.0,0.0,5.582013271294,0.387070332749
1,43,26,-5.308520317078,-1.099283218384,7.322219848633,0.0,0.0,0.0,2.810592218943,0.298707755825
1,44,92,-4.355594158173,-1.665734648705,3.680651903152,0.0,0.0,0.0,1.512715972029,1.840726596061
1,45,7,-6.103613853455,2.272195100784,3.041355133057,0.0,0.0,0.0,1.109136268215,1.94165699176
1,46,4,-5.727035045624,-0.05894754082,4.970373153687,0.0,0.0,0.0,0.0,0.0
1,47,2,-6.174060344696,-2.341840744019,3.952716350555,0.0,0.0,0.0,2.23838868575,0.084026161117
1,48,63,-5.801830768585,1.712776303291,5.591326236725,0.0,0.0,0.0,17.850598924952,29.741900410863
