file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pt
5,3,49,-1.276669979095,-2.239562749863,215.945022583008,0.0,0.0,0.0,488.547100160763,918.856770994667
5,5,29,-1.265933513641,1.754940032959,193.413360595703,0.0,0.0,0.0,516.593712165875,999.885423944411
5,11,111,-1.269068479538,1.242798924446,249.080856323242,0.0,0.0,0.0,441.282709491074,798.095941539982
5,15,117,-0.845680654049,1.571046948433,134.365783691406,0.0,0.0,0.0,226.279127340632,433.222195873593
5,18,56,-0.990619301796,-1.435040473938,1.292679190636,0.734950602055,-1.699979543686,-2.127361297607,886.803761992137,1617.136621689568
5,27,38,-3.18295788765,-2.474777698517,0.44406542182,0.266930609941,-0.121356546879,-1.196636676788,249.97717603048,429.071017754822
5,34,36,-1.274722218513,-1.023835420609,251.060943603516,0.0,0.0,0.0,450.784263181669,836.479335355788
5,37,75,-1.295200586319,-0.353381901979,307.843231201172,0.0,0.0,0.0,393.240571654009,633.921360902985
5,41,51,-1.062172532082,2.591536521912,244.076904296875,0.0,0.0,0.0,487.175504603357,916.089156228599
5,45,35,-1.518805027008,2.547953128815,254.555999755859,0.0,0.0,0.0,316.735331582497,561.906714187868
5,58,77,-0.632882297039,-2.086678743362,206.905731201172,0.0,0.0,0.0,530.862774919533,1014.796857910945
5,65,10,-1.178701162338,1.525901317596,300.494323730469,0.0,0.0,0.0,1589.990676673948,2863.467091802462
5,66,33,-1.25125002861,-2.205713510513,283.156799316406,0.0,0.0,0.0,409.266206168227,740.225452891186
5,73,27,-1.125812292099,-1.749033927917,253.924270629883,0.0,0.0,0.0,477.552777220305,906.642270793605
5,79,45,-0.844715535641,0.424081146717,190.743194580078,0.0,0.0,0.0,620.034688838761,1213.894317496677
5,81,21,-0.603718578815,-2.192714691162,260.565124511719,0.0,0.0,0.0,685.368741262273,1311.002724711397
5,82,13,-0.609985470772,1.29094684124,365.088562011719,0.0,0.0,0.0,563.760590382864,1023.551854363587
5,85,41,-0.815378785133,-0.223166763783,213.176498413086,0.0,0.0,0.0,518.420880451996,998.18860001239
5,86,23,-1.591218352318,0.007133257575,292.2373046875,0.0,0.0,0.0,322.729843541955,463.169500002837
5,87,82,1.093862652779,0.614767432213,0.689685642719,0.002795747016,1.5271447e-05,0.004212790169,910.680452843469,1679.221713473269
5,89,60,-0.882230639458,2.272974729538,224.288787841797,0.0,0.0,0.0,601.879336599666,1154.997296252815
5,90,87,-1.161700606346,-3.056413650513,275.573425292969,0.0,0.0,0.0,486.276339509951,887.284234977665
5,96,15,-1.148596525192,2.763412475586,295.215881347656,0.0,0.0,0.0,369.35474718161,650.911328474629
5,97,53,-1.30351793766,1.974885463715,195.649978637695,0.0,0.0,0.0,490.090428478787,916.058219506577
5,107,85,-1.221553683281,-3.021682977676,278.92822265625,0.0,0.0,0.0,353.573395087715,633.568270084898
5,109,25,-0.664778590202,-2.957378864288,119.125755310059,0.0,0.0,0.0,79.981000777399,143.920771799937
5,111,11,-1.580357193947,-1.49384367466,299.215362548828,0.0,0.0,0.0,270.152225225145,374.726673241908
5,125,35,-1.161517858505,-1.784263730049,195.490829467773,0.0,0.0,0.0,581.434716346161,1130.258590098265
5,132,18,-1.241746544838,2.193122386932,183.131683349609,0.0,0.0,0.0,609.909042864695,1180.345402614043
5,136,21,-2.023342370987,2.621004343033,0.768480598927,0.142098516226,-0.338286221027,-1.972436070442,941.606491756653,1617.055764398934
5,137,22,-0.380937844515,1.172153949738,208.958129882812,0.0,0.0,0.0,672.582399770731,1322.69094956978
5,140,45,-0.627543449402,0.744552850723,159.211029052734,0.0,0.0,0.0,537.291738680104,1038.186362533171
5,144,94,-1.133300423622,2.081703662872,246.988296508789,0.0,0.0,0.0,476.639135727782,895.014556556386
5,161,12,-1.245477676392,-1.855901122093,214.727890014648,0.0,0.0,0.0,443.790749905101,846.01053315861
5,162,23,-1.64472591877,-1.450992822647,272.219299316406,0.0,0.0,0.0,331.614929279697,485.826161278763
5,167,26,-1.196563959122,0.488885492086,338.817810058594,0.0,0.0,0.0,322.640768801122,541.814223413243
5,184,37,-1.135479927063,0.096001498401,264.703735351562,0.0,0.0,0.0,474.461355484334,881.2078761892
5,189,39,-1.491648554802,-0.235506102443,295.321105957031,0.0,0.0,0.0,322.597403787597,520.636273072776
5,194,69,-0.837554693222,-0.440333664417,184.130645751953,0.0,0.0,0.0,502.832067010833,957.706446262568
5,200,73,-0.848990857601,2.195867061615,131.105514526367,0.0,0.0,0.0,84.837507464367,145.148529286104
5,204,51,-0.819791734219,0.734181463718,132.194305419922,0.0,0.0,0.0,580.306684796201,1078.057190754253
5,205,35,-0.676497340202,0.177626654506,283.723510742188,0.0,0.0,0.0,595.089636054332,1109.25951223573
5,225,15,-1.545661330223,2.741834640503,294.733245849609,0.0,0.0,0.0,320.127613931755,488.558375613306
5,226,23,-1.578467726707,-0.250524431467,285.070373535156,0.0,0.0,0.0,235.854660162083,366.294218380103
5,232,60,-0.659993350506,-1.41391646862,190.732955932617,0.0,0.0,0.0,375.825563473153,716.254157154289
5,250,39,-1.612185359001,-0.790887117386,279.779296875,0.0,0.0,0.0,293.967984609184,445.916691765895
5,270,24,-1.601316094398,1.980324149132,301.012878417969,0.0,0.0,0.0,300.230073037535,341.36148628371
5,275,27,-1.228790163994,0.38086810708,261.119110107422,0.0,0.0,0.0,433.646041513833,796.004113382709
5,283,67,-0.644093513489,-1.708251714706,149.524337768555,0.0,0.0,0.0,646.010351959069,1270.100120294648
5,290,33,-1.068851470947,-0.550058841705,153.489837646484,0.0,0.0,0.0,562.954226085408,1111.319308756766
5,291,9,-1.579684615135,-0.653883516788,306.411590576172,0.0,0.0,0.0,280.365335288145,368.916265666136
5,296,39,-1.523599743843,-1.290424346924,274.138397216797,0.0,0.0,0.0,320.377749361042,526.01152669221
5,297,45,-1.062127709389,-2.31640791893,153.177398681641,0.0,0.0,0.0,484.410694430016,949.679018658242
