file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pt,Q2,x,y
0,0,3,-6.835795879364,-2.855776548386,1.969164609909,0.0,0.0,0.0,0.0,0.0,4.062887191772,8.4368512e-05,0.04560251534
0,1,1,-7.135824203491,0.794904947281,1.31533062458,0.0,0.0,0.0,1.981164527861,3.073734716896,2.010421037674,1.3653508e-05,0.139436736703
0,2,1,-6.785472393036,0.051789168268,2.135329723358,0.0,0.0,0.0,4.360385523808,8.243421472554,4.633113861084,0.000276634382,0.015859929845
0,3,30,-6.37842464447,-0.768050909042,3.174457073212,0.0,0.0,0.0,14.063652841087,25.498670639675,10.347990036011,0.000374436349,0.026170523837
0,4,58,-6.417760848999,0.921860039234,2.345906972885,0.0,0.0,0.0,7.339363846143,9.579816275119,7.352142333984,2.7685828e-05,0.251472681761
0,5,6,-6.331096172333,-2.560989141464,3.331939935684,0.0,0.0,0.0,11.245927687605,15.030598474273,11.387759208679,0.000429480482,0.025108993053
0,6,27,-6.015497207642,-2.523279666901,4.60741186142,0.0,0.0,0.0,21.001798257542,26.41949353403,21.590417861938,0.001218829886,0.016774609685
0,7,2,-6.561547279358,0.273594737053,2.687107086182,0.0,0.0,0.0,5.893462540751,8.538917155837,7.293607234955,0.000689490233,0.01001725439
0,8,1,-6.794814109802,-2.773035526276,2.124118328094,0.0,0.0,0.0,4.670687915733,8.988326547421,4.565935134888,0.000365215383,0.011839003302
0,9,1,-7.260272026062,-1.243253827095,1.3123524189,0.0,0.0,0.0,7.608844485849,6.997866743596,1.771151542664,6.0770279e-05,0.027599357069
0,10,36,-6.107844829559,0.201328039169,3.38884305954,0.0,0.0,0.0,6.759941654172,10.264439653733,14.479358673096,6.6285967e-05,0.206853166223
0,11,5,-6.573254108429,0.561949253082,2.59969162941,0.0,0.0,0.0,2.495630300284,3.340720130929,6.974212169647,0.000213423991,0.030944706872
0,12,1,-6.965077400208,-1.387272119522,1.64276266098,0.0,0.0,0.0,1.336428625154,2.44802432949,2.978389024734,3.0031282e-05,0.093916520476
0,13,1,-6.270357608795,1.097926735878,3.337782859802,0.0,0.0,0.0,0.893774130094,1.737246996729,12.122091293335,0.00014180431,0.080951064825
0,14,5,-7.105644702911,0.461340755224,1.417546272278,0.0,0.0,0.0,0.0,0.0,2.233038902283,2.1118001e-05,0.100133158267
0,15,32,-7.493982315063,-2.796689271927,0.993131041527,0.0,0.0,0.0,4.387130150219,8.054695596693,1.060993313789,1.4273563e-05,0.070390596986
0,16,7,-7.080024719238,2.375773906708,1.582976460457,0.0,0.0,0.0,2.528920511754,3.447971114124,2.558350801468,0.000117976808,0.020535150543
0,17,2,-7.051226615906,1.190120697021,1.644911170006,0.0,0.0,0.0,11.380032283502,16.744566683887,2.736118793488,0.000233307801,0.011105552316
0,18,0,-7.11517572403,0.217223495245,1.498551130295,0.0,0.0,0.0,4.409593842339,0.482466621507,2.338251590729,5.5914403e-05,0.039600621909
0,19,2,-6.38269329071,-0.999505758286,3.1325070858,0.0,0.0,0.0,12.100679712794,18.719092666608,10.167748451233,0.00027566115,0.034928798676
0,20,1,-6.289212226868,2.244138479233,3.441984176636,0.0,0.0,0.0,3.859459426954,3.85909581387,12.267042160034,0.000339457183,0.034220732749
0,21,1,-7.312960147858,-3.132492780685,1.229630470276,0.0,0.0,0.0,3.853013961477,6.588055567971,1.574336886406,3.7646358e-05,0.039601273835
0,22,2,-7.087748527527,-1.015794157982,1.575661301613,0.0,0.0,0.0,1.756270236309,0.43107575927,2.526934146881,0.000136724979,0.017501711845
0,23,52,-4.569267272949,0.934085667133,6.873059272766,0.0,0.0,0.0,2.504336857291,3.950059780584,136.786666870117,0.000197864298,0.654652416706
0,24,2,-7.011676311493,-1.769213676453,1.707214713097,0.0,0.0,0.0,8.376840506309,14.621192634418,2.95431637764,0.000208009587,0.013449560851
0,25,47,-3.989479541779,-1.865060448647,4.72226190567,0.0,0.0,0.0,9.358511266367,10.693966368845,167.819549560547,0.000183272597,0.867120504379
0,26,3,-7.160207748413,-2.081509828568,1.452887177467,0.0,0.0,0.0,3.474933714398,2.218126030516,2.167176961899,7.9003716e-05,0.025976540521
0,27,48,-6.620028018951,0.049179308116,1.883959054947,0.0,0.0,0.0,6.233556807354,9.151613386327,4.823153972626,1.7293292e-05,0.264111846685
0,28,4,-6.720587730408,3.031925678253,2.28618979454,0.0,0.0,0.0,6.014514092315,6.620548976086,5.292969703674,0.000400109391,0.012527232058
0,29,5,-7.180934906006,-1.820816636086,1.370837688446,0.0,0.0,0.0,1.632857057783,0.363039609393,2.002842903137,3.0721658e-05,0.061735749245
0,30,1,-7.181623935699,-1.144857048988,1.362686395645,0.0,0.0,0.0,1.896023123613,3.511029685818,1.989562273026,2.8258501e-05,0.066671907902
0,31,2,-6.145476341248,-1.026960730553,3.034932374954,0.0,0.0,0.0,4.082060886175,1.941342623743,12.488315582275,4.5060846e-05,0.262445420027
