file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pz,Q2,x,y
2,839,59,-3.69158911705,2.861005783081,5.753341674805,0.0,0.0,0.0,18.663357424422,18.49888639069,275.413238525391,0.000296434446,0.879813432693
2,840,25,-5.007609367371,0.036837700754,11.188692092896,0.0,0.0,0.0,9.26816343528,17.254412523018,143.649276733398,0.00105840608,0.128524392843
2,841,79,-4.693110942841,0.518046736717,10.456959724426,0.0,0.0,0.0,6.070685179216,8.147832412784,183.871551513672,0.000429605716,0.405302196741
2,842,43,-5.027822971344,-0.782988250256,8.781210899353,0.0,0.0,0.0,6.016371016517,7.086613532577,110.484115600586,0.000346353918,0.302074581385
2,843,29,-4.457858562469,-2.629455327988,17.024471282959,0.0,0.0,0.0,9.968345130488,13.612174547998,378.7490234375,0.001527761226,0.234763458371
2,844,22,-4.369517803192,1.682569503784,21.204158782959,0.0,0.0,0.0,51.236075165998,101.243537953637,515.305603027344,0.003827982815,0.127476260066
2,845,17,-5.229171276093,-1.577257514,10.077708244324,0.0,0.0,0.0,18.979844573304,25.451589083025,103.672302246094,0.00481885206,0.020372934639
2,846,36,-3.811726093292,0.221567422152,16.679611206055,0.0,0.0,0.0,9.89725954232,15.956781662098,708.068969726562,0.001104482915,0.607087135315
2,847,29,-4.716547489166,2.587416410446,16.178754806519,0.0,0.0,0.0,37.335108550155,64.635422407451,277.891815185547,0.004530956037,0.05807916075
2,848,22,-5.238164424896,0.581297516823,10.027913093567,0.0,0.0,0.0,21.750408837872,35.096331391593,102.23649597168,0.005900601391,0.016407566145
2,849,1,-4.66718006134,-0.585223972797,13.511852264404,0.0,0.0,0.0,6.458860083585,7.205245491828,243.829147338867,0.000919042912,0.251237392426
2,850,8,-4.944711685181,-0.198537647724,11.048664093018,0.0,0.0,0.0,3.435616816575,2.41175739838,151.060211181641,0.000745466154,0.191891878843
2,851,70,-4.959844589233,1.586562752724,9.565787315369,0.0,0.0,0.0,9.452526315366,11.231403991132,128.821624755859,0.000421115576,0.289682269096
2,852,20,-5.015385627747,2.127994298935,8.024577140808,0.0,0.0,0.0,4.182941118497,5.261084283995,102.227828979492,0.000261571578,0.370094865561
2,853,58,-4.967419147491,1.56053507328,12.292238235474,0.0,0.0,0.0,75.93037977678,117.04733087558,164.289352416992,0.001937762252,0.0802866593
2,854,26,-4.802669525146,0.017270799726,14.369186401367,0.0,0.0,0.0,51.320577378952,92.996566796867,226.443832397461,0.002431479516,0.088191017509
2,855,53,-4.741573810577,-1.192016839981,13.439834594727,0.0,0.0,0.0,30.145353736364,52.800953906617,225.141647338867,0.001078361296,0.197708785534
2,856,25,-4.819958209991,2.532021760941,15.147430419922,0.0,0.0,0.0,20.712371449667,28.632827202477,234.616714477539,0.010078352876,0.022044682875
2,857,12,-5.12463092804,-0.481950044632,8.930373191833,0.0,0.0,0.0,2.161355812689,2.72755244999,101.993370056152,0.000442902907,0.218070968986
2,858,8,-5.053153991699,-1.089931845665,12.118107795715,0.0,0.0,0.0,15.727281570008,21.376525949573,148.654846191406,0.011585148983,0.012150996365
2,859,75,-4.587094306946,0.678541719913,13.197325706482,0.0,0.0,0.0,17.44413783099,23.470707065993,258.010559082031,0.000751886226,0.324952453375
2,860,43,-4.040458679199,-1.233813166618,19.706449508667,0.0,0.0,0.0,13.239185503484,17.620738038871,665.519287109375,0.001513218042,0.416479438543
2,861,4,-3.218575716019,-2.225244998932,11.777234077454,0.0,0.0,0.0,4.712361075538,4.638472233801,904.763366699219,0.001011909451,0.846696615219
2,862,49,-5.112818717957,-0.227066680789,9.986088752747,0.0,0.0,0.0,21.412810771862,38.54864929682,115.405792236328,0.000804151467,0.135901480913
2,863,6,-3.441329479218,1.463089942932,60.724021911621,0.0,0.0,0.0,78.929266076492,21.381599087934,3733.45849609375,0.286623477936,0.012334854342
2,864,27,-4.502823352814,0.923861443996,15.14497089386,0.0,0.0,0.0,10.787568949187,18.173444503641,322.120391845703,0.00105938979,0.287936627865
2,865,26,-4.495258808136,-0.913943588734,16.949550628662,0.0,0.0,0.0,34.94049344274,65.740101909214,363.23974609375,0.001645050594,0.209097355604
2,866,40,-4.648087501526,1.392358064651,13.64148235321,0.0,0.0,0.0,29.804569269085,25.703250837221,250.913528442383,0.0009197084,0.258349955082
2,867,39,-4.919112205505,1.497046232224,13.157977104187,0.0,0.0,0.0,43.77617902528,80.543400142202,184.564025878906,0.002821753034,0.06193875894
