file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pz,Q2,x,y
3,248,26,-2.761173725128,0.345178306103,55.184341430664,0.0,0.0,0.0,11.102175190491,17.679968446705,6698.146484375,0.011630910449,0.545350074768
3,249,46,-3.490439891815,-0.073628827929,28.970930099487,0.0,0.0,0.0,31.618771896671,31.433681950055,1695.840209960938,0.003179538297,0.505074381828
3,250,56,-3.025995969772,-1.33422100544,66.257019042969,0.0,0.0,0.0,225.709284549254,432.859371718738,6171.0595703125,0.020247602835,0.288616120815
3,251,35,-3.635718345642,-2.786863088608,41.811134338379,0.0,0.0,0.0,133.732279955521,255.346452242972,2116.511962890625,0.011516644619,0.174032047391
3,252,38,-2.894938468933,-0.240184396505,63.332546234131,0.0,0.0,0.0,177.832796687397,345.055907917686,6724.69189453125,0.015780491754,0.403539717197
3,253,72,-3.243027925491,2.033463716507,26.296354293823,0.0,0.0,0.0,12.970438904434,6.351873120301,1971.367919921875,0.002875438426,0.649229228497
3,254,6,-2.955795288086,-2.762992143631,82.33073425293,0.0,0.0,0.0,150.694784980494,282.967661970095,8225.791015625,0.044267904013,0.17596372962
3,255,23,-3.955099821091,-2.832889556885,36.237071990967,0.0,0.0,0.0,29.378683708263,14.789155993346,2685.68310546875,0.00254342868,0.999930143356
3,256,27,-4.006474018097,-0.460970550776,34.245235443115,0.0,0.0,0.0,27.439328671233,25.705024425974,1196.497680664062,0.057053864002,0.019859176129
3,257,20,-4.077579498291,1.462087512016,31.69270324707,0.0,0.0,0.0,47.791842822174,37.587987428655,1031.312622070312,0.037462931126,0.026068918407
3,258,26,-2.841383695602,0.458649873734,106.605354309082,0.0,0.0,0.0,78.427103041424,68.547252298675,11942.1630859375,0.2338719666,0.048354763538
3,259,17,-3.88090634346,2.575470924377,36.784069061279,0.0,0.0,0.0,60.426548075426,99.624471628456,1457.151977539062,0.019317895174,0.071429803967
3,260,38,-3.186825752258,0.694767415524,53.514804840088,0.0,0.0,0.0,79.951173617864,84.738023113377,4243.794921875,0.012358807959,0.325171351433
3,261,26,-3.850059747696,-2.44597196579,38.534133911133,0.0,0.0,0.0,38.505494919265,60.140038940935,1574.298828125,0.026246873662,0.056799437851
3,262,54,-3.848651647568,2.830832958221,32.511234283447,0.0,0.0,0.0,77.223526933556,142.49371469647,1330.106811523438,0.006133998744,0.205341771245
3,263,65,-3.896320819855,-0.388294935226,32.9208984375,0.0,0.0,0.0,101.777595763923,196.41322869002,1284.169311523438,0.007793210447,0.156041577458
3,264,73,-3.666749715805,1.809943199158,44.463539123535,0.0,0.0,0.0,85.241118454869,121.024461103877,2182.0068359375,0.021993363276,0.093950465322
3,265,34,-3.649976730347,-1.228397369385,47.522262573242,0.0,0.0,0.0,51.340315323098,71.706968101318,2371.55712890625,0.047053012997,0.047728810459
3,266,27,-4.023513317108,2.63356590271,33.248035430908,0.0,0.0,0.0,28.735308241308,36.971404280425,1142.0302734375,0.033746551722,0.032046649605
3,267,68,-3.647035598755,1.858918905258,42.897686004639,0.0,0.0,0.0,103.905150090541,190.342667212154,2147.077392578125,0.014225948602,0.142922595143
3,268,21,-3.403064966202,1.417937636375,27.105033874512,0.0,0.0,0.0,17.977769703687,31.20233467225,1731.485473632812,0.002848150907,0.575692176819
3,269,32,-3.367642879486,-0.477494776249,60.616455078125,0.0,0.0,0.0,64.389728384815,109.916613462289,4011.835205078125,0.045161895454,0.08412117511
3,270,29,-3.278354644775,0.089359082282,70.800971984863,0.0,0.0,0.0,58.32719546285,29.760900524336,5123.52783203125,0.224454298615,0.021616015583
3,271,7,-3.925767660141,-1.873649954796,35.344131469727,0.0,0.0,0.0,53.549980978915,97.381398157761,1338.687866210938,0.018965585157,0.066841706634
3,272,32,-3.998126029968,2.42916727066,30.143575668335,0.0,0.0,0.0,99.762446644674,189.302663766626,1062.018188476562,0.006963397376,0.144425943494
3,273,34,-3.667676210403,0.261763781309,45.088459014893,0.0,0.0,0.0,55.13367527577,99.761729943694,2210.624755859375,0.026048639789,0.080364540219
3,274,40,-3.685283184052,2.196397304535,24.119964599609,0.0,0.0,0.0,10.965432608877,17.276586080983,1161.929565429688,0.002203680575,0.499304622412
3,275,26,-3.953751087189,0.787893593311,34.480445861816,0.0,0.0,0.0,84.516480114778,88.855739300268,1269.93603515625,0.01884630695,0.063810192049
3,276,9,-2.696202278137,-0.701208591461,23.004932403564,0.0,0.0,0.0,3.469854187019,0.648899999982,2979.72705078125,0.00343109481,0.822390735149
3,277,91,-3.345393657684,-1.268151402473,43.891490936279,0.0,0.0,0.0,145.894442398726,254.222860323331,9153.7255859375,0.008716749959,0.994438111782
3,278,12,-3.865903377533,2.998331308365,38.740425109863,0.0,0.0,0.0,30.109325323546,39.433440649859,1557.84814453125,0.040299545974,0.036606602371
3,279,14,-2.744883060455,-2.252119064331,44.826503753662,0.0,0.0,0.0,2.871426341619,3.064706718374,5530.29833984375,0.00822583586,0.6366533041
3,280,15,-3.997570037842,1.886585831642,30.805927276611,0.0,0.0,0.0,88.558347236002,158.665608707247,1085.95751953125,0.008154369891,0.126112148166
3,281,30,-2.895645856857,-1.843199253082,78.102890014648,0.0,0.0,0.0,222.256590256261,428.403060738537,8287.1533203125,0.029735703021,0.263913482428
3,282,12,-3.725197076797,-0.07212228328,31.556022644043,0.0,0.0,0.0,10.312212178319,18.931042607821,1460.666259765625,0.004346024711,0.318268179893
3,283,30,-2.178471803665,1.351054430008,154.56379699707,0.0,0.0,0.0,259.811916976394,454.448602385792,33597.79296875,0.110111862421,0.288942277431
3,284,27,-3.676264047623,-0.951837420464,29.905443191528,0.0,0.0,0.0,8.33995841638,14.418108589463,1453.68505859375,0.003577600932,0.384780347347
3,285,20,-3.320783138275,1.460712075233,64.540679931641,0.0,0.0,0.0,60.658636757305,97.657313487156,4476.48388671875,0.061019793153,0.06947054714
3,286,32,-3.379661083221,-0.723533809185,57.048740386963,0.0,0.0,0.0,97.959005404633,176.551473540524,3730.60400390625,0.027685010806,0.127605348825
3,287,83,-3.80277633667,0.685854256153,38.121601104736,0.0,0.0,0.0,111.529021054896,156.219989022498,1632.855102539062,0.014058108442,0.109990507364
3,288,10,-3.849789381027,-0.976636767387,35.261211395264,0.0,0.0,0.0,115.392141883459,215.24887920096,1440.97412109375,0.00994978752,0.137144014239
